Individual	Location	Pasture	Parasitism	pop_para	pop_para_past
I9	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I10	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I11	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I12	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I13	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I14	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I15	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I16	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I17	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I18	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I19	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I20	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I21	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I22	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I23	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I24	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I25	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I26	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I27	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
